performance_id,piece_id,source,split,midi_perfm,annot_file,feature_file,performance_MIDI_external
R_1,8,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-alb_se2_ENSTDkCl.mid,--,PM2S_workspace\R_1.pkl,{A_MAPS}/MAPS_MUS-alb_se2_ENSTDkCl.mid
R_2,497,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas1_ENSTDkAm.mid,--,PM2S_workspace\R_2.pkl,{A_MAPS}/MAPS_MUS-bk_xmas1_ENSTDkAm.mid
R_3,497,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas1_ENSTDkCl.mid,--,PM2S_workspace\R_3.pkl,{A_MAPS}/MAPS_MUS-bk_xmas1_ENSTDkCl.mid
R_4,493,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas4_ENSTDkCl.mid,--,PM2S_workspace\R_4.pkl,{A_MAPS}/MAPS_MUS-bk_xmas4_ENSTDkCl.mid
R_5,495,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bk_xmas5_ENSTDkCl.mid,--,PM2S_workspace\R_5.pkl,{A_MAPS}/MAPS_MUS-bk_xmas5_ENSTDkCl.mid
R_6,148,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-bor_ps6_ENSTDkCl.mid,--,PM2S_workspace\R_6.pkl,{A_MAPS}/MAPS_MUS-bor_ps6_ENSTDkCl.mid
R_7,212,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn-p14_ENSTDkAm.mid,--,PM2S_workspace\R_7.pkl,{A_MAPS}/MAPS_MUS-chpn-p14_ENSTDkAm.mid
R_8,213,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn-p15_ENSTDkAm.mid,--,PM2S_workspace\R_8.pkl,{A_MAPS}/MAPS_MUS-chpn-p15_ENSTDkAm.mid
R_9,217,MAPS,test,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn-p19_ENSTDkCl.mid,--,PM2S_workspace\R_9.pkl,{A_MAPS}/MAPS_MUS-chpn-p19_ENSTDkCl.mid
R_10,202,MAPS,train,../../MIDI-Datasets/A-MAPS_1.2/MAPS_MUS-chpn-p4_ENSTDkAm.mid,--,PM2S_workspace\R_10.pkl,{A_MAPS}/MAPS_MUS-chpn-p4_ENSTDkAm.mid
